state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
CA,California,2022,21.81,1767719,5.738605898123325,0,0,0,0.0,,0.0,39356104.0,91905.0,37.3,0.7798683725676057,0.1508099480578667,0.005202217170683358,11.428510713827865,17.488161641509276
CO,Colorado,2018,10.02,376104,2.993297587131367,7035,1785,8820,159.4607694868021,0.20238095238095238,15.914248451776656,5531141.0,68811.0,36.6,0.8415582593215198,0.17075500335283444,0.004383544010178008,11.139118894862325,15.525904681329518
CO,Colorado,2019,10.43,380609,2.8981233243967828,7035,1800,8835,157.47683432884477,0.2037351443123939,15.09845007946738,5610349.0,72331.0,36.7,0.8370630429427363,0.1748584624592873,0.004289572716421029,11.189008085269668,15.540123485902576
CO,Colorado,2020,10.29,384518,2.544235924932976,7080,1800,8880,156.2025609480229,0.20270270270270271,15.180035077553246,5684926.0,75231.0,36.9,0.8144208017584121,0.1787163104673658,0.0043282885300529855,11.228318659035375,15.553328668371414
CO,Colorado,2021,10.84,388601,3.558981233243968,7110,1800,8910,155.6827887173136,0.20202020202020202,14.36188087798096,5723176.0,80184.0,37.1,0.7879728923754314,0.18364331273404838,0.004623132330719866,11.292079272704703,15.560034454019892
CO,Colorado,2022,11.58,390861,4.242627345844504,7110,1800,8910,154.3982712938783,0.20202020202020202,13.333184049557712,5770790.0,87598.0,37.3,0.766436813566898,0.18777637030631855,0.0048149386825720565,11.380513445613621,15.568319544190258
CT,Connecticut,2018,16.76,153824,3.1394101876675604,3807,774,4581,127.90715855685208,0.16895874263261296,7.6316920379983335,3581504.0,76106.0,40.8,0.8622971460469839,0.15047421418487875,0.006339794678436769,11.239882384368588,15.091293381886501
CT,Connecticut,2019,16.75,151979,2.9410187667560326,3852,774,4626,129.3959229934821,0.16731517509727625,7.725129730954155,3575074.0,78444.0,41.0,0.8617916121867779,0.15143183050197004,0.0062563739939369084,11.27014027340073,15.089496433196716
CT,Connecticut,2020,16.58,154894,2.4772117962466487,3852,774,4626,129.55990801414572,0.16731517509727625,7.814228468886956,3570549.0,79855.0,41.1,0.840887841266448,0.1544465570980821,0.006275785600477686,11.28796776909041,15.088229923445262
CT,Connecticut,2021,16.46,155791,3.3672922252010724,3852,774,4626,128.31002987243886,0.16731517509727625,7.795263054218642,3605330.0,83572.0,41.0,0.8174754128004126,0.1557602216718026,0.006383049540541365,11.333463814742142,15.097923864040132
CT,Connecticut,2022,18.54,155784,4.534852546916889,3861,783,4644,128.59574498721656,0.1686046511627907,6.936124325092587,3611317.0,90213.0,40.9,0.7981139955499771,0.15892180055087937,0.006662112464787777,11.40992881983434,15.099583083723047
DC,District of Columbia,2018,11.97,26336,3.2292225201072386,816,51,867,126.6621670187495,0.058823529411764705,10.581634671574728,684498.0,82604.0,33.9,0.3959739791571082,0.1735826839523271,0.025779476346169016,11.321813384486683,13.436441001865612
DC,District of Columbia,2019,12.26,26471,3.046916890080429,1047,51,1098,158.51406776259847,0.04644808743169399,12.929369311794328,692683.0,86420.0,34.0,0.3872524368453152,0.17667533344978872,0.025473412802104283,11.366974409485923,13.448327742060924
DC,District of Columbia,2020,11.85,26672,2.631367292225201,1182,84,1266,180.3485599181736,0.06635071090047394,15.2192877568079,701974.0,90842.0,34.1,0.3705927352343771,0.18064486718881326,0.026800137896845183,11.416877012709847,13.461651645285023
